builtin name,converted I/O
ENETBRIDGE_1769:1:O.Data.0,Local:4:O.Pt00.Data
ENETBRIDGE_1769:1:O.Data.1,Local:4:O.Pt01.Data
ENETBRIDGE_1769:1:O.Data.2,Local:4:O.Pt02.Data
ENETBRIDGE_1769:1:O.Data.3,Local:4:O.Pt03.Data
ENETBRIDGE_1769:1:O.Data.4,Local:4:O.Pt04.Data
ENETBRIDGE_1769:1:O.Data.5,Local:4:O.Pt05.Data
ENETBRIDGE_1769:1:O.Data.6,Local:4:O.Pt06.Data
ENETBRIDGE_1769:1:O.Data.7,Local:4:O.Pt07.Data
ENETBRIDGE_1769:1:O.Data.8,Local:4:O.Pt08.Data
ENETBRIDGE_1769:1:O.Data.9,Local:4:O.Pt09.Data
ENETBRIDGE_1769:1:O.Data.10,Local:4:O.Pt10.Data
ENETBRIDGE_1769:1:O.Data.11,Local:4:O.Pt11.Data
ENETBRIDGE_1769:1:O.Data.12,Local:4:O.Pt12.Data
ENETBRIDGE_1769:1:O.Data.13,Local:4:O.Pt13.Data
ENETBRIDGE_1769:1:O.Data.14,Local:4:O.Pt14.Data
ENETBRIDGE_1769:1:O.Data.15,Local:4:O.Pt15.Data
SLOT00_Bul_1766_Placeholder.I[0].0,Local:1:I.Pt00.Data
SLOT00_Bul_1766_Placeholder.I[0].1,Local:1:I.Pt01.Data
SLOT00_Bul_1766_Placeholder.I[0].2,Local:1:I.Pt02.Data
SLOT00_Bul_1766_Placeholder.I[0].3,Local:1:I.Pt03.Data
SLOT00_Bul_1766_Placeholder.I[0].4,Local:1:I.Pt04.Data
SLOT00_Bul_1766_Placeholder.I[0].5,Local:1:I.Pt05.Data
SLOT00_Bul_1766_Placeholder.I[0].6,Local:1:I.Pt06.Data
SLOT00_Bul_1766_Placeholder.I[0].7,Local:1:I.Pt07.Data
SLOT00_Bul_1766_Placeholder.I[0].8,Local:1:I.Pt08.Data
SLOT00_Bul_1766_Placeholder.I[0].9,Local:1:I.Pt09.Data
SLOT00_Bul_1766_Placeholder.I[0].10,Local:1:I.Pt10.Data
SLOT00_Bul_1766_Placeholder.I[0].11,Local:1:I.Pt11.Data
SLOT00_Bul_1766_Placeholder.I[0].12,Local:1:I.Pt12.Data
SLOT00_Bul_1766_Placeholder.I[0].13,Local:1:I.Pt13.Data
SLOT00_Bul_1766_Placeholder.I[0].14,Local:1:I.Pt14.Data
SLOT00_Bul_1766_Placeholder.I[0].15,Local:1:I.Pt15.Data
SLOT00_Bul_1766_Placeholder.I[1].0,Local:2:I.Pt00.Data
SLOT00_Bul_1766_Placeholder.I[1].1,Local:2:I.Pt01.Data
SLOT00_Bul_1766_Placeholder.I[1].2,Local:2:I.Pt02.Data
SLOT00_Bul_1766_Placeholder.I[1].3,Local:2:I.Pt03.Data
SLOT00_Bul_1766_Placeholder.I[1].4,Local:2:I.Pt04.Data
SLOT00_Bul_1766_Placeholder.I[1].5,Local:2:I.Pt05.Data
SLOT00_Bul_1766_Placeholder.I[1].6,Local:2:I.Pt06.Data
SLOT00_Bul_1766_Placeholder.I[1].7,Local:2:I.Pt07.Data
SLOT00_Bul_1766_Placeholder.I[1].8,Local:2:I.Pt08.Data
SLOT00_Bul_1766_Placeholder.I[1].9,Local:2:I.Pt09.Data
SLOT00_Bul_1766_Placeholder.I[1].10,Local:2:I.Pt10.Data
SLOT00_Bul_1766_Placeholder.I[1].11,Local:2:I.Pt11.Data
SLOT00_Bul_1766_Placeholder.I[1].12,Local:2:I.Pt12.Data
SLOT00_Bul_1766_Placeholder.I[1].13,Local:2:I.Pt13.Data
SLOT00_Bul_1766_Placeholder.I[1].14,Local:2:I.Pt14.Data
SLOT00_Bul_1766_Placeholder.I[1].15,Local:2:I.Pt15.Data
SLOT00_Bul_1766_Placeholder.O[0].0,Local:3:O.Pt00.Data
SLOT00_Bul_1766_Placeholder.O[0].1,Local:3:O.Pt01.Data
SLOT00_Bul_1766_Placeholder.O[0].2,Local:3:O.Pt02.Data
SLOT00_Bul_1766_Placeholder.O[0].3,Local:3:O.Pt03.Data
SLOT00_Bul_1766_Placeholder.O[0].4,Local:3:O.Pt04.Data
SLOT00_Bul_1766_Placeholder.O[0].5,Local:3:O.Pt05.Data
SLOT00_Bul_1766_Placeholder.O[0].6,Local:3:O.Pt06.Data
SLOT00_Bul_1766_Placeholder.O[0].7,Local:3:O.Pt07.Data
SLOT00_Bul_1766_Placeholder.O[0].8,Local:3:O.Pt08.Data
SLOT00_Bul_1766_Placeholder.O[0].9,Local:3:O.Pt09.Data
SLOT00_Bul_1766_Placeholder.O[0].10,Local:3:O.Pt10.Data
SLOT00_Bul_1766_Placeholder.O[0].11,Local:3:O.Pt11.Data
SLOT00_Bul_1766_Placeholder.O[0].12,Local:3:O.Pt12.Data
SLOT00_Bul_1766_Placeholder.O[0].13,Local:3:O.Pt13.Data
SLOT00_Bul_1766_Placeholder.O[0].14,Local:3:O.Pt14.Data
SLOT00_Bul_1766_Placeholder.O[0].15,Local:3:O.Pt15.Data
